experiment_id,date,status,objective,branch,commit,config_path,node_role,gpu,dataset,effective_batch,best_val_auc,test_video_auc,run_dir,archive_dir,summary_path
dfdhr_ffppc23_lifecycle-test_20260720_002,2026-07-20,completed,Validate experiment lifecycle tooling,feat/experiment-registry,8cc2599a183a7d8458a4e098f056b8b9071222df,${DFDHR_RUNTIME_ROOT}/runs/dfdhr_ffppc23_lifecycle-test_20260720_002/config.resolved.yaml,controller-candidate,1x RTX 2080 Ti,FaceForensics++,1,,,${DFDHR_RUNTIME_ROOT}/runs/dfdhr_ffppc23_lifecycle-test_20260720_002,,${DFDHR_RUNTIME_ROOT}/runs/dfdhr_ffppc23_lifecycle-test_20260720_002/summary.md
dfdhr_ffppc23_mini-random_20260720_002,2026-07-20,completed,Validate the complete one-epoch DFD-HR training lifecycle on a fixed balanced subset.,test/mini-run,240e8ac8805781713e1ae45f49c276fa80b325e1,${DFDHR_RUNTIME_ROOT}/runs/dfdhr_ffppc23_mini-random_20260720_002/config.resolved.yaml,controller-candidate,1x RTX 2080 Ti,FaceForensics++,16,0.4375,0.4375,${DFDHR_RUNTIME_ROOT}/runs/dfdhr_ffppc23_mini-random_20260720_002,,${DFDHR_RUNTIME_ROOT}/runs/dfdhr_ffppc23_mini-random_20260720_002/summary.md
